Recipe Title;Energy;Carbs;Protein;Fat;Time;Filters;Preparation;Photo
Red velvet latte;230 kcal ;25 gram;6 gram;12 gram;5 min;['drankje zonder alcohol', 'nagerecht', 'valentijn', 'moederdag', 'kerst', 'pasen', 'verjaardag', 'winter', 'herfst', 'koken', 'kerstdesserts'];['Verdeel de espresso over de glazen. ', 'Breng de melk in een steelpan tegen de kook aan met ⅔ van het perenrood. Klop met een garde of speciale melkschuimer tot stevig schuim. Voeg samen met het bietensap toe aan de espresso en roer door.', 'Verdeel de slagroom erover en besprenkel met de rest van het perenrood.'];https://static.ah.nl/static/recepten/img_113718_1224x900_JPG.jpg
Verrassingscake met hartjes;475 kcal ;51 gram;6 gram;27 gram;15 min;['oven', 'gebak', 'kindergerecht', 'valentijn', 'traktatie', 'vaderdag', 'moederdag', 'kinderrecepten'];['Verwarm de oven voor op 160 °C.', 'Snijd de roombotercake in plakken van 1 cm dik en steek met de hartjesvorm 2 hartjes uit elke plak. Je houdt er een paar over. Maak het cakebeslag volgens de aanwijzingen op de verpakking. Voeg de cacao toe en meng goed. Vet de cakevorm in. Schep een laagje van ca. 1 cm onderin de cakevorm en strijk glad. ', 'Zet de hartjes goed aaneengesloten rechtop in het beslag. Druk ze een beetje aan. Bedek voorzichtig met de rest van het cakebeslag: eerst de zijkanten en dan de bovenkant. Bak de cake in 50 min. gaar. Laat goed afkoelen.'];https://static.ah.nl/static/recepten/img_114101_1224x900_JPG.jpg
Beren-pizzabroodjes;110 kcal ;10 gram;6 gram;5 gram;10 min;['oven', 'brood/sandwiches', 'lunch', 'kindergerecht', 'traktatie', 'kinderrecepten'];['Verwarm de oven voor op 200 °C. Rooster de boterhammen licht. Snijd met een mesje berenkoppen met 2 oortjes uit elke boterham. Leg op een bakplaat.', 'Bestrijk de berenkoppen elk met 1 el pizzasaus en bestrooi met de geraspte kaas. Halveer de mozzarellabolletjes en de olijven. Knip flinterdunne reepjes van de snacknori. Maak van de mozzarella, de halve olijf en een streepje snacknori de snoet van de beer. Maak met de kappertjes de ogen. ', 'Laat in 5 min. warm worden in de oven tot de kaas gesmolten is.'];https://static.ah.nl/static/recepten/img_113712_1224x900_JPG.jpg
Lettertraktatie van meloen;35 kcal ;7 gram;1 gram;1 gram;25 min;['veganistisch', 'lactosevrij', 'glutenvrij', 'kindergerecht', 'tussendoortje', 'verjaardag', 'traktatie', 'picknick', 'borrel', 'moederdag', 'kinderrecepten'];"['Snijd de meloen in plakken van 1 cm.', 'Steek met de uitsteekvormpjes letters uit van het fruit. ', 'Rijg woorden of namen van de letters aan de prikkers; begin en eindig met een blauwe bes.']";https://static.ah.nl/static/recepten/img_113715_1224x900_JPG.jpg
Vegetarische Mexicaanse chiliburger met groentefriet & salade;605 kcal ;55 gram;18 gram;31 gram;5 min;['vegetarisch', 'oven', 'mexicaans', 'hoofdgerecht', 'wat eten we vandaag'];['Verwarm de oven voor op 200 °C.', 'Meng de groentefriet met de komijn, de helft van de olie, peper en eventueel zout en verdeel over een met bakpapier beklede bakplaat. Bak in het midden van de oven in ca. 30 min. gaar. Schep halverwege om. Leg de flatbreads de laatste 3 min. naast de groentefriet in de oven.', 'Verhit de rest van de olie in een koekenpan en bak de chiliburgers 6 min. op middelhoog vuur goudbruin. Keer halverwege.', 'Snijd ondertussen de helft van de komkommer in schuine dunne plakken. Snijd de rest van de komkommer in blokjes en meng met de slamelange en yoghurtdressing. Breng op smaak met peper en eventueel zout.', 'Besmeer de flatbreads met de groentespread en verdeel de burger en de komkommerplakjes erover. Serveer met de groentefriet en de maiskomkommersalade.'];https://static.ah.nl/static/recepten/img_111926_1224x900_JPG.jpg
Rijkgevulde Italiaanse omelet met groenten & cannellinibonen;520 kcal ;25 gram;27 gram;33 gram;20 min;['zonder vlees/vis', 'glutenvrij', 'italiaans', 'hoofdgerecht', 'wat eten we vandaag', 'bakken'];['Halveer de tomaten, doe met de balsamicoazijn in een grote steelpan en breng aan de kook. Zet het vuur laag en laat in ca. 8 min. inkoken tot de balsamico stroperig is.', 'Snijd ondertussen de selderij fijn. Klop de eieren los met de melk en de helft van de selderij en breng op smaak met peper en eventueel zout Verhit per omelet een ½ el olie in de koekenpan met antiaanbaklaag en bak achter elkaar van het eimengsel 1 omelet per persoon. Houd warm op een bord onder een deksel.', 'Verhit ondertussen de rest van de olie in de wok en bak de roerbakgroente, Italiaanse kruiden en de rest van de selderij 8 min. Schep regelmatig om. Laat ondertussen de cannellinibonen uitlekken en voeg de laatste 2 min. toe aan de wok. Breng op smaak met peper en eventueel zout.', 'Verdeel het groentemengsel over de omeletten en klap dubbel. Verdeel de tomaten-balsamicosaus erover en rasp de kaas daarover en serveer.'];https://static.ah.nl/static/recepten/img_114508_1224x900_JPG.jpg
Gegrilde biefstukspies met platbrood & chimichurri;730 kcal ;66 gram;43 gram;31 gram;30 min;['hoofdgerecht', 'wat eten we vandaag', 'bakken'];['Snipper voor de chimichurri de sjalot en snijd de knoflook en peterselie fijn. Meng de sjalot, knoflook, peterselie, gedroogde oregano, peperoncino-olie en azijn. Breng op smaak met peper en eventueel zout.', 'Halveer de biefstukken in de lengte en doe in een kom. Voeg de paprikapoeder en 2/6 van de olie toe en schep om. Laat staan tot gebruik.', 'Doe het bakmeel, de yoghurt en het zout in een kom en kneed tot een samenhangend deeg. Verdeel in een portie per persoon en duw tot platte broodjes van ca. 12 cm doorsnede. Verhit de grillpan en gril de broodjes aan één kant in 3-5 min. knapperig en goudbruin. Keer, besprenkel met 1/6 van de olie en gril nog 3-5 min.', 'Verwijder ondertussen de steelaanzet van de paprika’s en verwijder met een scherp mesje de zaadlijsten. Snijd het vruchtvlees in blokjes van 1 cm. Rijg de gehalveerde biefstukken aan de spiesen. Verhit de grillpan en gril de biefstukspiesen rondom in 4-5 min. medium gaar. Snijd de tomaten in blokjes van 2 cm. Maak de radijs schoon en snijd in parten. Meng de paprika met de tomaat, radijs en de helft van de chimichurri.', 'Meng de rest van de chimichurri met de rest van de olie. Serveer de biefstukspiesen met de salade, chimichurri en het platbrood.'];https://static.ah.nl/static/recepten/img_114504_1224x900_JPG.jpg
Eierkoeken traktatie: egeltjes;90 kcal ;14 gram;2 gram;3 gram;10 min;['tussendoortje', 'kindergerecht', 'traktatie', 'kinderrecepten'];['Steek met een glaasje of steker aan de rand twee halve cirkels uit de koeken, zodat er een lijfje en een spits neusje ontstaat.', 'Bestrijk de koeken aan de bolle kant met een dun laagje zuivelspread. Bedek elke koek helemaal met de hagelslag. Druk lichtjes aan, zodat er geen wit meer te zien is.', 'Bestrijk het puntje van het neusje met chocopasta en maak oogjes met de krenten. '];https://static.ah.nl/static/recepten/img_113711_1224x900_JPG.jpg
Sneeuwman-cupcakes;230 kcal ;27 gram;4 gram;11 gram;20 min;['oven', 'gebak', 'kindergerecht', 'traktatie', 'kerst', 'winter', 'kinderrecepten', 'kersttaart'];['Verwarm de oven voor op 170 °C. Zet de papieren vormpjes in de muffinvorm. Maak de cupcakemix volgens de aanwijzingen op de verpakking. Verdeel het beslag over de vormpjes en bak in ca. 20 min. gaar in de oven. Laat helemaal afkoelen.', 'Bestrijk de bovenkant van de afgekoelde cupcakes met de zuivelspread. Bestrooi de cupcakes met de kokos. Maak een gezichtje met een abrikozensteentje als neus en krenten als ogen en mond.'];https://static.ah.nl/static/recepten/img_113720_1224x900_JPG.jpg
Spinaziemuffins;180 kcal ;20 gram;3 gram;9 gram;10 min;['oven', 'gebak', 'tussendoortje', 'kindergerecht', 'kinderrecepten'];['Verwarm de oven voor op 200 °C.  Zet de papieren vormpjes in de holletjes van de cupcakevorm.\n', 'Doe het volkorenmeel, bakpoeder, de kaneel, baksoda en een snuf zout in een grote kom.\n', 'Meng de melk, honing, banaan, spinazie, zonnebloemolie en het ei in een keukenmachine tot een glad mengsel. Giet het spinaziemengsel bij het meel en meng goed. Verdeel het mengsel over de vormpjes. Laat in ca. 20 min. gaar worden in de oven. Laat afkoelen.'];https://static.ah.nl/static/recepten/img_113721_1224x900_JPG.jpg
Boterkoek;165 kcal ;19 gram;2 gram;9 gram;20 min;['vooraf te maken', 'oven', 'hollands', 'gebak', 'verjaardag', 'traktatie'];['Zeef de bloem en suiker boven een kom. Snijd de boter in 3 plakken, leg op het bloemmengsel en snijd met 2 messen in stukjes. Voeg het zout toe en kneed met koude handen snel tot een deegbal. Verpak in vershoudfolie en laat minimaal 1 uur rusten in de koelkast.', 'Verwarm de oven voor op 180 °C. Bekleed de ovenschaal of brownievorm met bakpapier en verdeel het deeg erover. Strijk glad met de bolle kant van een lepel.', 'Klop het ei los en bestrijk met behulp van de bakkwast de bovenkant van het deeg ermee. Snijd een ruitpatroon in de bovenkant van het deeg, zo voorkom je dat het ei straks loslaat. Bak de boterkoek in 30-35 min. goudbruin. Laat minimaal 4 uur (liever langer) afkoelen, en snijd in stukjes.'];https://static.ah.nl/static/recepten/img_RAM_PRD139598_1224x900_JPG.jpg
Salade met quinoa, edamame en rosbief;550 kcal ;57 gram;27 gram;21 gram;15 min;['lactosevrij', 'snel', 'salade', 'hoofdgerecht', 'wat eten we vandaag', 'koken'];['Kook de quinoa volgens de aanwijzingen op de verpakking. Doe de bonen in een kom en giet er kokend water over. Laat 5 min. staan en giet af. ', 'Halveer de komkommer in de lengte en verwijder met een theelepel de zaadlijsten. Snijd in boogjes.  Snijd de radijs in plakjes. Doe de taugé in een vergiet en schenk er kokend water over. Snijd het vruchtvlees van de avocado in blokjes. ', 'Pers de limoen uit. Meng de quinoa, sojabonen, sojasaus en sesamolie door elkaar. Breng op smaak met 1 el limoensap (per 4 personen). Verdeel de quinoa over kommetjes en verdeel daar de groente en rosbief over. Besprenkel met de sriracha.'];https://static.ah.nl/static/recepten/img_113719_1224x900_JPG.jpg
Omelet met aubergine, kip en cottage cheese;495 kcal ;29 gram;33 gram;33 gram;20 min;['eiwitrijk', 'hoofdgerecht', 'wat eten we vandaag', 'bakken', 'eiwitrijk'];['Snijd de aubergine in blokjes van 1 cm. Verhit de olie in de hapjespan en bak de aubergine 10 min. op middelhoog tot hoog vuur goudbruin. Bestrooi met peper en eventueel zout en verdeel alles goed over de pan. Klop de eieren los en schenk over het groentemengsel. Laat met de deksel op de pan in 10-12 op laag vuur gaar worden. ', 'Rooster ondertussen de sneetjes brood. Zet het vuur in de laatste minuten eventueel iets hoger voor een goudbruine buitenkant. Leg een bord op de omelet en keer om.', 'Verdeel achtereenvolgens de waterkers, kip en cottage cheese erover. Besprenkel met de chilisaus.'];https://static.ah.nl/static/recepten/img_113716_1224x900_JPG.jpg
Flammkuchen met bloemkoolbodem;440 kcal ;9 gram;20 gram;35 gram;15 min;['glutenvrij', 'oven', 'hoofdgerecht', 'wat eten we vandaag'];"['Verwarm de oven voor op 200 °C. Verhit de olie in een grote hapjespan en bak de bloemkoolrijst 5 min. op middelhoog vuur. Blijf goed omscheppen. Schep de rijst in een grote kom, laat 15 min. afkoelen en schep af en toe om. ', 'Rasp ondertussen de kaas en voeg toe aan de rijst. Breek de eieren erboven en bestrooi met peper en eventueel zout. Meng alles goed door elkaar en maak een ovale bodem op een met bakpapier beklede bakplaat. Zorg ervoor dat de bodem tussen de ½ en 1 cm dik is. Druk goed aan. Bak de bodem ca. 25 min. in het midden van de oven.', 'Verhit ondertussen een koekenpan zonder olie of boter en bak de spekreepjes 5 min. op middelhoog vuur knapperig. Laat uitlekken op keukenpapier. Snijd de rode ui in dunne ringen. Snijd de knoflook fijn en meng met de nootmuskaat door de crème fraîche. Snijd de peterselie fijn', ""Neem de 'flammkuchen' uit de oven en verdeel een dun laagje crème fraîche over de bodem.  Beleg met de spekjes en ui en bak nog 15 min. in het midden van de oven gaar en goudbruin aan de randen. Neem uit de oven en bestrooi met de peterselie. ""]";https://static.ah.nl/static/recepten/img_RAM_PRD142995_1224x900_JPG.jpg
Italiaanse bladerdeegtaartjes met worst en tomatensalsa;755 kcal ;42 gram;27 gram;51 gram;10 min;['lactosevrij', 'oven', 'italiaans', 'quiche', 'borrelhapje', 'lunch', 'hoofdgerecht', 'wat eten we vandaag'];['Verwarm de oven voor op 180 °C.', 'Haal het vel van de worsten. Verhit de olie in de hapjespan en bak het worstvlees 3 min. op hoog vuur, druk het vlees met een houten lepel in stukjes. Voeg de boerensoepgroente toe en bak 3 min. op middelhoog vuur.', 'Snijd het bladerdeeg in 4 gelijke rechthoekige stukken en rol die met de deegroller een beetje in de breedte uit. Leg ze met het bakpapier op een bakplaat en vouw de randen om.', 'Verdeel de muhammara en het worstmengsel erover. Bak ca. 20 min. in het midden van de oven.', 'Snipper ondertussen de sjalot en snijd de peterselie fijn. Snijd de tomaten in kleine blokjes en meng met de peterselie en sjalot. Breng op smaak met peper en eventueel zout.', 'Neem de taartjes uit de oven en verdeel een deel van de tomatensalsa erover. Serveer de rest erbij.'];https://static.ah.nl/static/recepten/img_RAM_PRD121341_1224x900_JPG.jpg
Romige polenta met Italiaanse groenten en een eitje;600 kcal ;57 gram;21 gram;30 gram;20 min;['zonder vlees/vis', 'italiaans', 'hoofdgerecht', 'wat eten we vandaag', 'koken'];['Snijd de knoflook fijn. Verhit 30 g boter (per 4 personen) in een hapjespan en bak de knoflook en groente 5 min. op middelhoog vuur. Kook ondertussen de eieren 6 min. Laat schrikken, pel en halveer ze.', 'Breng ondertussen het water met de bouillontablet aan de kook. Voeg de polenta toe en laat al roerend 7 min. koken tot een dikke pap. Rasp ondertussen de kaas. Zet het vuur uit. Voeg de rest van de boter samen met de kaas toe en roer tot beide helemaal door de polenta zijn opgenomen.', 'Verdeel de polenta over diepe borden en leg de groente en eieren erop. Bestrooi met de tuinkers en breng op smaak met peper en eventueel zout.'];https://static.ah.nl/static/recepten/img_RAM_PRD123129_1224x900_JPG.jpg
Gewokte biefstukpuntjes met groente en rijst;480 kcal ;69 gram;26 gram;10 gram;20 min;['lactosevrij', 'aziatisch', 'rijst', 'hoofdgerecht', 'wat eten we vandaag', 'roerbakken/wokken', '5 ingrediënten'];['Kook de rijst volgens de aanwijzingen op de verpakking. Laat met de deksel op de pan staan tot gebruik. Verhit de olie in de wok en roerbak de wokgroente 3 min. Voeg het vlees en de woksaus toe en roerbak 2 min. mee.', 'Snijd de koriander fijn en roer door de rijst. Verdeel de curry en rijst over de borden.'];https://static.ah.nl/static/recepten/img_125756_1224x900_JPG.jpg
Tostada's met avocado, ei & limoen-tomatensalsa;875 kcal ;81 gram;25 gram;48 gram;10 min;['vegetarisch', 'lactosevrij', 'vooraf te maken', 'oven', 'mexicaans', 'wrap', 'hoofdgerecht'];['Verwarm de oven voor op 180 °C.', 'Schil de aardappelen, snijd in blokjes van 2 cm en kook in 8 min. gaar in ruim water met zout. Giet af en laat goed uitlekken. Stamp fijn, meng de cajunkruiden erdoor, breng op smaak met zout en houd warm.', 'Boen de limoen schoon, rasp de groene schil en pers de vrucht uit. Halveer de tomaten en rasp de tomaten op de snijkant op de (blok)rasp tot je alleen het velletje overhoudt. Het vel wordt niet gebruikt. Meng de tomatenpulp met het limoenrasp en 2 el limoensap (per 4 personen) en eventueel zout.', 'Verdeel de wraps over een met bakpapier beklede bakplaat en bestrijk met de helft van de olie. Bak de tostada’s ca. 10 min. in het midden van de oven. Wissel halverwege de baktijd de bakplaten om.', 'Snijd ondertussen de avocado’s overlangs doormidden. Verwijder de pit en schil. Snijd het vruchtvlees in dunne plakjes. Snijd de radijzen in plakjes. Verhit de rest van de olie in 2 koekenpannen en bak 8 spiegeleieren.', 'Neem de tostada’s uit de oven en besmeer met de zoete-aardappelpuree. Beleg in componenten met de radijs, avocado, biet julienne en een gebakken ei. Besprenkel met de salsa en bestrooi met peper.'];https://static.ah.nl/static/recepten/img_114523_1224x900_JPG.jpg
Noedelsalade met garnalen, wortel & Thaise currydressing;685 kcal ;62 gram;36 gram;30 gram;20 min;['aziatisch', 'salade', 'hoofdgerecht', 'wat eten we vandaag', 'roerbakken/wokken'];['Kook de noedels in 5 min. gaar. Schil ondertussen de winterpenen en schaaf met de dunschiller in de lengte in lange linten. Kook 2 min. mee. Giet de noedels en winterpeen af en spoel samen tot lauwwarm onder koud stromend water.', 'Maak de dressing: rasp de groene schil van de limoen en pers de vrucht uit. Meng het rasp en 2 el sap (bij 4 personen) met de olie en de groenecurrypasta. Snijd de muntblaadjes in reepjes.', 'Verhit de wok zonder olie of boter en roerbak de garnalen met 2 el dressing (bij 4 personen) in 4 min. op hoog vuur. Schep regelmatig om. Meng ondertussen de noedels en wortellinten met de rest van de dressing. Schep de wokgroenten erdoor en verdeel over een platte schaal.  Verdeel de garnalen, munt en pinda’s erover en serveer direct.'];https://static.ah.nl/static/recepten/img_114515_1224x900_JPG.jpg
Aziatisch gemarineerde varkensspies met Chinese wokgroente;710 kcal ;87 gram;32 gram;24 gram;30 min;['aziatisch', 'pasta', 'hoofdgerecht', 'wat eten we vandaag', 'grillen'];['Snijd elk filetlapje in 6 gelijke stukken. Boen de limoen schoon, rasp de groene schil van de limoen en pers de vrucht uit (houd het sap apart). Meng het limoenrasp met de shichimi togarashi, de helft van de olie, peper en eventueel zout. Meng met de filetblokjes en rijg aan de satéprikkers.', 'Kook de volkorenspaghetti met eventueel zout in 12 min. beetgaar. Kook de laatste 5 min. de zoete-aardappelspaghetti mee. Laat goed uitlekken.', 'Verhit ondertussen de grillpan en gril de spiesjes in ca. 8 min. bruin en gaar. Keer regelmatig.', 'Verwijder het steeltje van de rode peper, halveer de peper in de lengte en verwijder met een scherp mesje de zaadlijsten. Snijd het vruchtvlees fijn. Snijd de bosuitjes in ringetjes. Verhit de rest van de olie in de wok en roerbak de wokgroente met de peper en de helft van de bosui 5 min.', 'Giet de spaghetti af, laat goed uitlekken en meng met de dressing en 2 el (achtergehouden) limoensap (bij 4 personen). Breng op smaak met peper. Verdeel het spaghettimengsel over diepe borden, schep de groente erop, leg de spiesjes erbij en bestrooi met de rest van de bosui.'];https://static.ah.nl/static/recepten/img_114524_1224x900_JPG.jpg
Homemade vissticks met boontjes & citroenmayo;795 kcal ;64 gram;35 gram;42 gram;30 min;['hoofdgerecht', 'wat eten we vandaag', 'koken'];['Schil de aardappelen en snijd elke aardappel in 4 gelijke stukken. Kook in water met eventueel zout in 20 min gaar. Verwijder de steelaanzet en het puntje van de sperziebonen en kook de bonen 6 min. gaar. Giet af en laat met de deksel op de pan staan tot gebruik.', 'Boen ondertussen de citroen schoon, rasp de gele schil en pers de citroen uit. Meng de mayonaise met 1 el citroensap (bij 4 personen) en het –rasp. Breng op smaak met peper.', 'Bestrooi de pangasiusfilets met peper en eventueel zout en snijd in 8 repen van 3 cm breed. Roer de eieren los in een diep bord en strooi de panko in een ander diep bord. Haal de vis eerst door het ei en vervolgens door de panko. Verhit de helft van de boter in 2 koekenpannen en bak de vissticks in 5 min. rondom goudbruin en gaar.', 'Giet de aardappelen af, maar vang wat kookvocht op. Stamp met de rest van de boter en 150 ml kookvocht (bij 4 personen) tot een smeuïge puree. Breng op smaak met peper.', 'Verdeel de boontjes, aardappelpuree en vissticks over de borden. Bestrooi de boontjes met de gebakken uitjes en serveer de citroenmayonaise erbij.'];https://static.ah.nl/static/recepten/img_114526_1224x900_JPG.jpg
Geroosterde ovengroenten met ricotta & kappertjes;400 kcal ;28 gram;18 gram;21 gram;10 min;['zonder vlees/vis', 'oven', 'hoofdgerecht', 'wat eten we vandaag'];['Verwarm de oven voor op 200 °C.', 'Doe de bonen in een vergiet, spoel af en laat uitlekken. Meng de ovengroentemix met de bonen, het rozemarijn-zeezout en de olie. Verdeel over 2 met bakpapier beklede bakplaten. Verdeel de ricotta in stukken erover, bestrooi met peper en rooster ca. 20 min. in het midden van de oven. Wissel de bakplaten halverwege.', 'Snijd ondertussen de peterselie grof en laat de kappertjes uitlekken. Verdeel de peterselie en kappertjes over de geroosterde groenten en serveer.'];https://static.ah.nl/static/recepten/img_114532_1224x900_JPG.jpg
Mexicaanse kipschotel met broccolisalade & feta;545 kcal ;36 gram;37 gram;25 gram;20 min;['vooraf te maken', 'mexicaans', 'hoofdgerecht', 'wat eten we vandaag', 'koken'];['Meng het kipgehakt met de chipotlepeper in adobosaus en draai er met natte handen 4 balletjes per persoon ter grootte van een kleine walnoot van. Verhit de olie in de hapjespan en bak de balletjes in 3 min. op middelhoog vuur rondom goudbruin.', 'Verwijder ondertussen de steelaanzet van de paprika’s en verwijder met een scherp mesje de zaadlijsten. Snijd het vruchtvlees in ringen. Voeg de chili con carne groente, paprika en tomatenblokjes toe, breng aan de kook en laat 5 min. afgedekt op laag vuur koken.', 'Laat de bonen uitlekken in een vergiet en spoel af met koud water. Voeg de bonen toe en warm de laatste 2 min. mee.', 'Snijd ondertussen de broccoli in roosjes, schil de stronk en snijd in stukjes. Kook de broccoli 4 min. Giet af en laat goed uitlekken. Rasp de groene schil van de limoen en pers de vrucht uit. Meng de broccoli met een ½ el limoensap (bij 4 personen) en het -rasp en verkruimel de feta erover.', 'Verdeel de bonenstoof over de borden en serveer met de broccolisalade.'];https://static.ah.nl/static/recepten/img_114535_1224x900_JPG.jpg
Indiase curry met naanbrood, pompoen & paneer;700 kcal ;46 gram;24 gram;45 gram;20 min;['vegetarisch', 'oven', 'indiaas', 'aziatisch', 'curry', 'hoofdgerecht', 'wat eten we vandaag', 'winter', 'herfst'];['Verwarm de oven voor op 200 °C.  Snijd de paneer in blokjes van 2 cm. Verhit 4/5 van de olie in de koekenpan met antiaanbaklaag en bak de paneer 8 min.', 'Schil en rasp ondertussen de gember fijn. Verhit de rest van de olie in de hapjespan. Voeg de gember, currypoeder en wokgroente toe en bak 5 min. op middelhoog vuur.', 'Laat de linzen uitlekken. Snijd de tomaten in blokjes en snijd de selderij fijn. Voeg de kokosmelk, tomaten, linzen, paneer en de helft van de selderij toe. Breng aan de kook en laat op laag vuur 15 min. zachtjes koken. Breng op smaak met peper en eventueel zout.', 'Verdeel de naan over een rooster en verwarm 5 min. in het midden van de oven. Verdeel de curry over diepe borden en bestrooi met de rest van de selderij. Serveer met de naan.'];https://static.ah.nl/static/recepten/img_114533_1224x900_JPG.jpg
Pompoen-knolselderijstamppot met paddenstoelenjus;455 kcal ;59 gram;10 gram;17 gram;30 min;['vegetarisch', 'budget', 'stamppot', 'hoofdgerecht', 'wat eten we vandaag', 'herfst', 'koken'];['Schil de aardappelen, knolselderij en pastinaak en snijd in gelijke stukken. Snijd de halve pompoen in parten. Verwijder de zaden en de draderige binnenkant en snijd met een scherp mes de schil eraf. Snijd het vruchtvlees in gelijke stukken. Snipper de uien. ', 'Doe de aardappel, knolselderij, pastinaak, pompoen, ⅔ van de ui en ¾ van het groentebouillonblokje in een pan met ruim water. Breng aan de kook en kook in 20 min. gaar. ', 'Snijd ondertussen de champignons in kwarten. Verhit de boter in een hapjespan en bak de champignons en de rest van de ui 6-8 min. op middelhoog vuur. Verkruimel de rest van het bouillonblokje erover en voeg kokend water toe. Laat 1 min. inkoken en haal van het vuur. Breng op smaak met peper en eventueel zout. ', 'Snijd ondertussen de appel in blokjes van 1 cm. Giet de aardappel en groenten af en laat goed uitlekken in een vergiet. Doe terug in de pan en stamp met de pureestamper tot een grove stamppot. Meng de rest van de boter en de stukjes appel erdoor. Breng op smaak met peper en eventueel zout. ', 'Serveer de stamppot in diepe borden, maak een kuiltje en schenk daarin de paddenstoelenjus.'];https://static.ah.nl/static/recepten/img_RAM_PRD181809_1224x900_JPG.jpg
Currysoep met visballetjes;460 kcal ;42 gram;20 gram;23 gram;40 min;['lactosevrij', 'aziatisch', 'soep', 'hoofdgerecht', 'koken', 'maaltijdsoep'];['Halveer de limoen en pers de vrucht uit. Snijd de bosui in ringetjes.  Snijd de vis in stukjes en doe in de keukenmachine. Voeg de rode curry pasta, maizena, de helft van de koriander, de helft van de gesneden bosui, de vissaus en de helft van het limoensap toe. Draai tot een glad mengsel. Schep in een kom en roer een keer goed door. Maak er met vochtige handen 20 balletjes van.', 'Bereid de rijstnoedels volgens de aanwijzingen op de verpakking. Verhit de olie in een soeppan en fruit de Tom Kha kruidenpasta 2 min. op laag vuur. Voeg de kokosmelk en het water toe en breng tegen de kook aan. Doe dan de visballetjes, Thaise wokgroenten en de peultjes erbij. Houd 6 min. tegen de kook aan tot de visballetjes gaar zijn. Breng op smaak met de rest van het limoensap. Verdeel de rijstnoedels over ruime kommen en schep de soep erop. Snijd de rest van de koriander grof. Strooi de bosui en koriander over de soep.'];https://static.ah.nl/static/recepten/img_113566_1224x900_JPG.jpg
Knol­sel­de­rij­huts­pot met ve­ge­ta­ri­sche rook­worst;540 kcal ;24 gram;20 gram;36 gram;20 min;['vegetarisch', 'glutenvrij', 'hollands', 'stamppot', 'hoofdgerecht', 'wat eten we vandaag', 'herfst', 'winter', 'koken'];['Schil de knolselderij en snijd in stukken van 2 cm. Kook in water met eventueel zout in 15 min. gaar. Giet af in een vergiet en druk met een lepel het vocht eruit. Pureer met de staafmixer de knolselderij samen met de boter en ⅓ van de mosterd.', 'Verwarm ondertussen de rookworst volgens de aanwijzingen op de verpakking. Kook de hutspotgroenten in een andere pan in 10 min. gaar en stamp grof met de pureestamper.', 'Snijd ondertussen de peterselie fijn. Meng de hutspotgroenten met de knolselderij en peterselie. Breng op smaak met peper en eventueel zout en verdeel over de borden. Verkruimel de witte kaas erover en serveer met de rookworsten en de rest van de mosterd.'];https://static.ah.nl/static/recepten/img_113548_1224x900_JPG.jpg
Pompoencurry met ui en bloemkool;445 kcal ;45 gram;13 gram;22 gram;40 min;['vegetarisch', 'indiaas', 'aziatisch', 'curry', 'hoofdgerecht', 'herfst', 'winter', 'stoven'];['Snijd de ui in halve ringen. Verhit de olie op laag vuur en fruit hierin de garam masala 2 min. Voeg de ui toe en fruit 2 min.', 'Zet het vuur middelhoog en voeg de pompoenstukjes toe. Halveer grote bloemkoolroosjes en voeg toe. Roerbak 2 min.', 'Voeg de yoghurt toe, roer goed en breng aan de kook. Zet het vuur laag en laat in 25 min. gaar worden met de deksel op de pan. Roer regelmatig. Breng op smaak met peper en eventueel zout.', 'Verwarm de naan volgens de aanwijzingen op de verpakking. Snijd de koriander grof.', 'Bestrooi de curry met de koriander en serveer met de naan en de mangochutney.'];https://static.ah.nl/static/recepten/img_113556_1224x900_JPG.jpg
Rundvlees in rode wijn met pasta;795 kcal ;78 gram;56 gram;27 gram;20 min;['pasta', 'hoofdgerecht', 'herfst', 'winter', 'stoven'];[' Bestrooi het vlees met de bloem, peper en eventueel zout. Verhit de helft van de olie in een braadpan en bak hierin het vlees op hoog vuur aan beide kanten bruin.', ' Snijd de ui in halve ringen en de knoflook fijn. Voeg samen met de spekjes toe aan het vlees en fruit 3 min. mee. Voeg de wijn en de tomaten toe en breng aan de kook. Zet het vuur laag.', 'Bind een flink stuk keukentouw om de kruiden zodat ze hun blaadjes niet verliezen en voeg toe aan de saus. Laat 1½ uur met de deksel op de pan stoven en garen op laag vuur. Haal het laatste halfuur de deksel van de pan.', 'Snijd de paddenstoelen grof en bak ze in de rest van de olie 3 min. Breng op smaak met peper en eventueel zout. Voeg de laatste 15 min. toe aan het vlees.', 'Kook de pasta beetgaar, verwijder de kruiden en serveer de pasta met het vlees.'];https://static.ah.nl/static/recepten/img_113558_1224x900_JPG.jpg
